config	round	cores	blas	done	failed	requeues	wall_s	throughput	thr_per_core	peak_mib
1c-capped	1	1	1	40	0	0	225.4	0.177	0.177	1296
1c-capped	2	1	1	40	0	0	326.3	0.123	0.123	1232
1c-capped	3	1	1	40	0	0	572.4	0.070	0.070	1332
1c-uncapped	1	1	1	40	0	0	247.1	0.162	0.162	1357
1c-uncapped	2	1	1	40	0	0	212.2	0.189	0.189	1333
1c-uncapped	3	1	1	36	4	0	540.5	0.067	0.067	1524
2c-capped	1	2	1	40	0	0	211.9	0.189	0.094	1961
2c-capped	2	2	1	40	0	0	203.4	0.197	0.098	2114
2c-capped	3	2	1	36	4	0	522.2	0.069	0.034	2054
2c-uncapped	1	2	2	40	0	0	235.8	0.170	0.085	2040
2c-uncapped	2	2	2	40	0	0	212.0	0.189	0.094	1711
2c-uncapped	3	2	2	40	0	0	465.9	0.086	0.043	1715
4c-capped	1	4	1	40	0	0	168.2	0.238	0.059	1981
4c-capped	2	4	1	40	0	0	190.8	0.210	0.052	2007
4c-capped	3	4	1	40	0	0	218.0	0.183	0.046	2091
4c-uncapped	1	4	4	40	0	0	138.1	0.290	0.072	2060
4c-uncapped	2	4	4	40	0	0	194.7	0.205	0.051	2476
4c-uncapped	3	4	4	40	0	0	270.3	0.148	0.037	2417
